平台名称,成交量,成交额,平均利率,平均期限,地区 ,
 合众e贷 ," 26,501 笔 ", 746.87 万元 ,10.43%, 12.02 月 , 深圳 , 
 玛瑙湾 ," 1,240 笔 ", 743.83 万元 ,7.37%, 8.73 月 , 杭州 , 
 人众金服 , 13 笔 , 743.10 万元 ,9.82%, 4.42 月 , 杭州 , 
 冠e通 , 9 笔 , 738.00 万元 ,8.87%, 6.44 月 , 北京 , 
 钱盆网 , 950 笔 , 725.33 万元 ,12.71%, 9.84 月 , 南宁 , 
 团贷网 , 349 笔 , 725.16 万元 ,13.06%, 6.55 月 , 东莞 , 
 新城金融 , 10 笔 , 724.30 万元 ,6.95%, 8.91 月 , 上海 , 
 拓道金服 , 216 笔 , 713.98 万元 ,17.59%, 6.72 月 , 杭州 , 
 连资贷 , 99 笔 , 709.78 万元 ,8.28%, 2.71 月 , 杭州 , 
 和信贷 , 16 笔 , 707.07 万元 ,9.28%, 6.81 月 , 北京 , 
 向日葵金融 , 7 笔 , 700.00 万元 ,11%, 0.79 月 , 无锡 , 
 融贝网 , 38 笔 , 676.79 万元 ,9.44%, 12.91 月 , 北京 , 
 恒信易贷 , 127 笔 , 610.06 万元 ,10.63%, 3.81 月 , 广州 , 
 搜易贷 , 27 笔 , 604.04 万元 ,7.96%, 13.01 月 , 北京 , 
 币港湾 , 3 笔 , 591.32 万元 ,8.54%, 9.69 月 , 杭州 , 
 道口贷 , 25 笔 , 575.89 万元 ,9.33%, 4.73 月 , 北京 , 
 白菜金融 , 85 笔 , 564.67 万元 ,9.32%, 11.05 月 , 北京 , 
 钱香 , 6 笔 , 550.00 万元 ,9.04%, 5.5 月 , 上海 , 
 元宝365 , 64 笔 , 542.18 万元 ,9.51%, 4.79 月 , 北京 , 
 恩科e贷 , 27 笔 , 540.00 万元 ,8.09%, 5.73 月 , 石家庄 , 
 互融宝 , 82 笔 , 526.14 万元 ,11.02%, 4.99 月 , 南京 , 
 小管家 , 12 笔 , 510.00 万元 ,7.79%, 6.14 月 , 北京 , 
 多宝贷 , 11 笔 , 504.00 万元 ,9.41%, 5.75 月 , 东莞 , 
 惠金所 , 550 笔 , 500.43 万元 ,9.26%, 11.58 月 , 北京 , 
 日日昌 , 6 笔 , 500.00 万元 ,11.32%, 4.4 月 , 深圳 , 
 暴风金融 , 5 笔 , 500.00 万元 ,8.20%, 5.85 月 , 北京 , 
 百善金饭碗 , 25 笔 , 498.70 万元 ,9.79%, 9.42 月 , 北京 , 
 金筑财富 , 17 笔 , 496.09 万元 ,8.82%, 1.87 月 , 贵阳 , 
 聚优财 , 27 笔 , 486.35 万元 ,7.63%, 2.91 月 , 杭州 , 
 徽盐金融 , 9 笔 , 483.50 万元 ,9.18%, 10.01 月 , 合肥 , 
 金储宝 , 15 笔 , 480.00 万元 ,14.57%, 2.45 月 , 杭州 , 
 乐毅金服 , 40 笔 , 479.90 万元 ,8.29%, 2.84 月 , 北京 , 
 维C理财 , 40 笔 , 479.90 万元 ,8.19%, 2.84 月 , 上海 , 
 理财农场 , 16 笔 , 477.00 万元 ,7.78%, 7.06 月 , 深圳 , 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
